Teks,Label
seorang majikan menyuruh anak buahnya dengan kata kasar dan kalimat yang tidak menyenangkan,Non-Violence
saya melihat seorang senior menampar junior nya hanya karena tidak menang lomba sekolah,Violence
saya melihat kekerasan mental yang terjadi di salah satu universitas yang mengakibatkan korban depresi dan trauma,Non-Violence
aku punya teman yang sering di bully karena dia tidak pintar malas dan bau badan teman ku sangat trauma,Violence
kerabat terdekat saya menggunakan narkoba sudah sejak lama namun saya bingung bagaimana cara mengadukannya,Non-Violence
saya melihat seseorang mendapatkan kekerasan fisik sehingga berpengaruh kepada mental orang tersebut,Violence
sewaktu kecil adik saya sering di kunci di kamar dicubit dan di pukul hingga sekarang adik saya mempunyai trauma,Violence
pelaku tidak dapat menahan emosinya sehingga melakukan kekerasan fisik dan psikis kepada korban,Violence
saya melihat seorang bayi di titipkan kepada baby siter lalu ditinggal oleh kedua orang tuanya dan tidak pernah kembali lagi,Non-Violence
saya melihat kekerasan rumah tangga seorang istri di pukuli oleh suaminya,Violence
payudara saya di pegang lalu saya di tampar saya sangat takut dan trauma,Violence
tolong ada seseorang yang memakai barang terlarang di depan saya saya harus apa,Non-Violence
"tolong saya di lecehkan secara paksa oleh orang yang tidak dikenal, bantu saya",Violence
teman saya dibully hanya karena ia berpakaian tidak seperti yang lain bahkan bullying terjadi setiap hari hingga korban merasa trauma,Violence
saya melihat seorang anak yang terluka karena dipukul oleh bapaknya karena anak tersebut menegur bapanya yang selingkuh,Violence
saya melihat seorang anak yang ditelantarkan oleh kedua orangtuanya pergi merantau sejak lama dan tidak pernah pulang untuk memperhatikan anak tersebut,Non-Violence
saya melihat dua orang anak yang ditinggal ibunya bekerja menjadi tenaga kerja wanita anak itu terlantar dan hanya tamat sekolah dasar dan saat ini mereka berdua tidak mampu untuk melanjutkan sekolah,Non-Violence
saya melihat seorang anak di suruh membeli sesuatu oleh orang tuanya namun apa yang dibeli anak tersebut salah hingga anak tersebut di lempar benda tumpul oleh orang tuanya gimana cara penyelesaiannya ya pak bu,Violence
Majikan menyuruh anak buahnya dengan kata kasar dan kalimat yang tidak menyenangkan sehingga anak buahnya pun merasa terdzolimi,Non-Violence
saya melihat seorang senior menampar juniornya hanya karena tidak menang lomba sekolah dan dipermalukan di lapangan sekolah,Violence
saya melihat kekerasan mental yang terjadi di salah satu universitas swasta yang mengakibatkan korban depresi dan trauma hingga tidak mau menyelesaikan perkuliahannya,Non-Violence
aku punya teman yang sering dibully karena dia tidak pintar malas kucel danbau badan sehingga teman ku sangat trauma,Violence
kerabat terdekat saya menggunakan narkoba sudah sejak lama namun saya bingung bagaimana cara mengadukannya ke polisi atau pihak terkait,Non-Violence
saya melihat seseorang mendapatkan kekerasan fisik sehingga berpengaruh kepada mental orang tersebut kedepannya,Violence
sewaktu kecil adik saya sering dikunci di kamar dicubit dan dipukul hingga sekarang adik saya mempunyai trauma yang cukup berat,Violence
pelaku tidak dapat menahan emosinya sehingga melakukan kekerasan fisik dan psikis kepada korban yang menghalanginya,Violence
saya melihat seorang bayi dititipkan kepada baby sitter lalu ditinggal oleh kedua orang tuanya dan tidak pernah kembali lagi untuk mengambilnya,Non-Violence
saya melihat kekerasan di dalam rumah tangga seorang istri di pukuli oleh suaminya cara melaporkannya bagaimana ya,Violence
payudara saya sering dipegang lalu saya ditampar sehingga saya sangat takut keluar rumah dan trauma,Violence
tolong pak ada seseorang yang memakai barang terlarang di depan saya saya harus melakukan apa,Non-Violence
saya melihat ada Penganiayaan terhadap Seorang Warga di Bireuen,Violence
ada Penembakan Seorang Tersangka Kasus Peredaran Ganja di Aceh Timur,Violence
Penembakan Seorang Warga di Aceh Besar,Violence
Pengaiayaan 2 Angota TNI di Aceh Utara,Violence
Penembakan Seorang Tersangka Kasus Peredaran Ganja di Medan,Violence
Penembakan dan Rekayasa Kasus Atas Seorang Warga Oleh Anggota Polisi di Aceh Besar,Violence
Perampasan Kamera Milik Seorang Wartawan Saat Akan Melakukan Peliputan Pembubaran Paksa Aksi Demonstrasi di Depan Kantor Gubernur Aceh,Violence
Pemerasan Bermodus Penggerebekan Ganja oleh Anggota Polisi di Langsa,Violence
Penganiayaan Wartawan di Aceh Utara,Violence
Penyerangan Kantor redaksi Tabloid Mingguan Modus Aceh di Banda Aceh,Violence
Penganiayaan Wartawan di Subulussalam,Violence
Penembakan Seorang Tersangka Curanmor di Aceh Barat,Violence
Pembantaian Massal di Simpang KKA,Violence
Penyerangan Warga di Jambo Keupok,Violence
Penyiksaan Seorang Tahanan di Aceh Barat,Violence
Penganiayaan Kepala Dinas Perhubungan di Banda Aceh,Violence
Penganiayaan Rusli di Nagan Raya,Violence
Penembakan Nelayan Pembom Ikan Oleh Anggota Polisi di Aceh Singkil,Violence
Penembakan Seorang Warga Oleh Anggota Polisi di Aceh Jaya,Violence
Bentrokan Mahasiswa Dan Polisi Dalam Aksi Demonstrasi di Banda Aceh,Violence
Penyekapan Seorang Guru SD Oleh Anggota Polisi di Banda Aceh,Violence
Penembakan Seorang Pemilik Senjata Api Oleh Anggota Polisi di Aceh Timur,Violence
Penembakan 3 Orang Warga Oleh Anggota Polisi di Aceh Besar,Violence
Penembakan Seorang Pelaku Pembunuhan di Aceh Tengah,Violence
Pencabulan Dua Orang Anak di Banda Aceh,Violence
Penembakan Warga di Aceh,Violence
Pelecehan Seksual terhadap siswa SMP di Aceh,Violence
Penyiksaan 5 Orang Tahanan di Aceh,Violence
Penganiayaan 5 Orang Siswa di Sabang,Violence
Penyiksaan 2 Orang Siswa oleh Polisi di Aceh Utara,Violence
Penembakan 2 tersangka pembawa ganja di Aceh,Violence
Penganiayaan Seorang Jurnalis The Globe Journal oleh Anggota Polisi di Aceh,Violence
"Penganiayaan Seorang Kakek oleh Anggota Polisi karna Diduga Dukun Santet di Nagan Raya, Aceh",Violence
Penembakan Tersangka Kasus Curanmor di Lhokseumawe,Violence
"Penembakan 3 Orang Tahanan Yang Kabur Dari Mapolsek Johan Pahlawan, Aceh Jaya",Violence
Penganiayaan dan Penangkapan Sewenang-Wenang Mahasiswa Unimal Aceh Utara di Aceh Timur,Violence
Penangkapan Warga di Aceh Singkil,Violence
Penembakan Tersangka Kasus Curanmor di Aceh,Violence
Penembakan Pengunjuk rasa di Aceh,Violence
Penangkapan Aktivis KAPHA dan Pembuaran Paksa Aksi Solidaritas untuk Korban Pemerkosaan di Banda Aceh,Violence
PenembakanTersangka Kasus Narkoba di Aceh,Violence
Pemerasan Sejumlah warga di Aceh,Violence
Penganiayaan warga di Aceh,Violence
Penyegelan & Pengerusakan Yayasan di Aceh,Violence
Koreaable banget face rafathar cakep ganteng manis banget,Non-Violence
MasyaAllah Rafathar tambah besar makin tambah ganteng bgt gk kuat ngeliat alisny…,Non-Violence
"Kok mirip siwon ya lama2, apa perasaan gw aja.",Non-Violence
Lucunya berasa kayak kaka dan adek,Non-Violence
Itu wajah nagita kya masih umur 20an,Non-Violence
"Foto no edit edit ya saayy kamera nyaa bening,,, model fotonya pun juga bening gak perlu pakai filter tipu tipu",Non-Violence
"Look-nya Rafathar emang gak bisa dipungkiri, diborong gen mama gigi semua HAHA.",Non-Violence
Nagita masa kaya anak muda coba cantikk bangeett,Non-Violence
"Masyaallah mamany cantik anakny ganteng, perfect",Non-Violence
Kaya adek kakak.. kak gigi keliatan muda banget,Non-Violence
Tambah gede aja rafathar ya tambah pinter ya Rafathar,Non-Violence
Mama gigi kalau rambutnya agak pirang tambah cantik dan tampak lebih muda,Non-Violence
"OOTD mama gigi simple tapi elegan dilihat nya, masyaallah",Non-Violence
"Masyaallah mamah gigi bening bet dah, sehat selalu mamah gigi dn keluarga",Non-Violence
mama gigi ketemu gajah. gajahnya seneng sampai ketawa gitu ahhaha.,Non-Violence
Ya allah ga tau knp ak suka setiap lihat nagita pake dress modelnya cakep cakep,Non-Violence
i see beauty in everything mba gigi sehat selalu sama dede bayi nya,Non-Violence
Mama gigi cantik banget… look younger than her age.. love mama gigi,Non-Violence
Semoga adeknya rafathar menjadi anak yang tangguh kuat cerdas,Non-Violence
Pakaian apapun yg dipake mama gigi selalu keceee,Non-Violence
"Dalam upaya untuk menciptakan perdamaian di komunitas ini, kita perlu membangun dialog yang terbuka dan saling mendengarkan.",Non-Violence
Pendidikan yang berkualitas adalah kunci untuk mengatasi tantangan sosial yang melibatkan konflik dan ketidaksetaraan,Non-Violence
Membantu anak-anak dalam lingkungan yang kurang aman dengan memberikan akses kepada mereka untuk belajar dan berkembang secara positif.,Non-Violence
Menggalang dukungan untuk mengatasi masalah keamanan di wilayah kita dengan melibatkan seluruh masyarakat,Non-Violence
"Memberdayakan perempuan melalui pendidikan dan pelatihan, sehingga mereka dapat menjadi agen perubahan dalam mengurangi tingkat kekerasan",Non-Violence
"Melalui proyek seni dan budaya, kita dapat menciptakan ruang di mana masyarakat dapat mengungkapkan aspirasi mereka tanpa perlu mengandalkan kekerasan",Non-Violence
"Mengembangkan program rehabilitasi untuk individu yang terlibat dalam perilaku destruktif, dengan fokus pada perubahan positif dan reintegrasi ke dalam masyarakat",Non-Violence
"Walaupun ada ketegangan di antara kedua pihak, upaya rekonsiliasi terus dilakukan untuk menciptakan perdamaian di wilayah tersebut",Non-Violence
"Pada masa konflik, kelompok-kelompok berusaha membangun jembatan komunikasi demi memahami satu sama lain dan mencari solusi bersama.",Non-Violence
"Meskipun dia tidak suka dengan pendapat temannya, ia tetap menghargai perbedaan dan mencoba memahami sudut pandang yang berbeda",Non-Violence
"Dalam keluarganya, mereka selalu menyelesaikan perbedaan pendapat dengan cara berbicara dan mencari solusi bersama, tanpa perlu resort ke tindakan agresif.",Non-Violence
"Sebagai seorang wanita, dia selalu berusaha untuk memotivasi sesama wanita di sekitarnya untuk mencapai potensi terbaik mereka tanpa harus bersaing secara kasar.",Non-Violence
"Anak-anak di sekolah itu membentuk sebuah kelompok kecil yang fokus pada pendidikan dan kerjasama, sehingga mereka dapat tumbuh dan berkembang tanpa adanya intimidasi atau kekerasan",Non-Violence
"Masyarakat yang saling mendukung dan berempati, di mana setiap orang berkontribusi untuk menciptakan lingkungan yang aman dan nyaman bagi semua warganya",Non-Violence
"Meskipun dia sering kali menghadapi ketidaksetujuan dalam kelompoknya, dia selalu memilih untuk berbicara dengan tenang dan mencari solusi bersama demi menciptakan harmoni",Non-Violence
"Di sekolah kami, telah terjadi peningkatan positif dalam partisipasi siswa dalam kegiatan ekstrakurikuler, yang menunjukkan semangat kebersamaan di antara mereka.",Non-Violence
"Sebagai seorang ayah, saya ingin berbagi kebahagiaan melihat anak-anak saya tumbuh dan berkembang. Mendukung impian mereka adalah prioritas utama di keluarga kami.",Non-Violence
"Masyarakat seharusnya bersatu untuk menciptakan lingkungan yang aman dan mendukung bagi semua warganya, tanpa memandang latar belakang sosial atau ekonomi",Non-Violence
"Pendidikan yang berkualitas dapat menjadi solusi efektif untuk mengurangi tingkat kekerasan dalam keluarga, dengan memberdayakan individu untuk memahami dan menangani konflik dengan bijak.",Non-Violence
"Sebagai seorang remaja, saya merasa penting untuk memahami peran saya dalam masyarakat. Saya berkomitmen untuk berkontribusi positif dan menjadi contoh yang baik bagi teman-teman sebaya.",Non-Violence
Saya ingin berbicara tentang pentingnya mendukung perempuan di tempat kerja. Kesetaraan gender adalah kunci untuk menciptakan lingkungan kerja yang sehat dan produktif.,Non-Violence
"Hari ini, saya ingin memberitahu Anda tentang keindahan kebersamaan di dalam rumah tangga saya. Suasana harmonis dan saling mendukung membuat hidup semakin berarti.",Non-Violence
"Sebagai seorang ibu, saya merasa penting untuk menciptakan lingkungan yang positif bagi anak-anak saya. Kami bersama-sama belajar, tumbuh, dan menghargai nilai-nilai kehidupan.",Non-Violence
"Sebagai anggota masyarakat, saya aktif terlibat dalam program sosial untuk membantu mereka yang membutuhkan. Kecil atau besar, setiap kontribusi kita dapat membuat perbedaan positif.",Non-Violence
"Saat ini, kami sedang bekerja sama dengan pemerintah setempat untuk meningkatkan fasilitas pendidikan di daerah kami. Pendidikan adalah kunci bagi masa depan yang lebih baik.",Non-Violence
"Kami mengadakan kegiatan komunitas yang melibatkan semua lapisan usia. Melalui interaksi antargenerasi, kami dapat saling belajar dan menghargai pengalaman hidup masing-masing.",Non-Violence
"Kami ingin menciptakan ruang aman bagi remaja di lingkungan kami untuk berbicara tentang tantangan dan aspirasi mereka. Dengan mendengarkan, kita dapat saling memahami dan memberikan dukungan yang diperlukan.",Non-Violence
"Sebagai seorang pemuda, saya merasa penting untuk mengedukasi rekan-rekan sebaya tentang dampak positif dari menjaga lingkungan bersih. Bersama-sama, kita dapat menciptakan kawasan yang sehat dan nyaman untuk semua.",Non-Violence
"Dalam perjalanan membangun masyarakat yang inklusif, kami aktif berpartisipasi dalam kegiatan sosial yang mendukung hak-hak kaum minoritas. Keberagaman adalah kekayaan, dan kami merayakannya.",Non-Violence
"Kami terlibat dalam program pemberdayaan perempuan di lingkungan kami, memberikan pelatihan keterampilan dan dukungan untuk membantu mereka mencapai kemandirian finansial.",Non-Violence
"Perlindungan terhadap hak-hak anak seharusnya menjadi prioritas bagi semua lapisan masyarakat, guna mencegah terjadinya kekerasan dan memberikan ruang bagi pertumbuhan dan perkembangan yang sehat.",Non-Violence
"Perlu adanya upaya bersama untuk meningkatkan kesadaran akan isu-isu kekerasan terhadap perempuan, agar masyarakat dapat lebih responsif dan mendukung para korban.",Non-Violence
Istri Bergaji Lebih Besar Rentan Jadi Korban KDRT,Non-Violence
"Sebagai orang tua, kami berkomitmen untuk memastikan bahwa anak-anak kami memiliki pemahaman yang sehat tentang teknologi dan media sosial, serta cara menggunakan mereka dengan bijak.",Non-Violence
"Kami bersama-sama membangun program mentorship untuk remaja di komunitas kami, memberikan mereka bimbingan untuk mengatasi tantangan dan memperkuat keterampilan mereka.",Non-Violence
"Dalam menjalani kehidupan sehari-hari, kami berusaha untuk menjadi konsumen yang sadar lingkungan, memilih produk yang ramah lingkungan dan mendukung praktik bisnis yang berkelanjutan.",Non-Violence
"Melibatkan generasi muda dalam kegiatan positif adalah tujuan kami. Dengan memberikan mereka peluang untuk berkembang, kami yakin masa depan masyarakat kami akan menjadi lebih cerah.",Non-Violence
"Kami aktif dalam kampanye keamanan jalan raya di daerah kami, memberikan perhatian khusus pada keselamatan anak-anak dan remaja saat beraktivitas di luar rumah.",Non-Violence
"Sebagai bagian dari upaya mendukung kesehatan mental, kami mengadakan kelompok diskusi terbuka untuk membahas isu-isu seputar kesehatan jiwa dan memberikan dukungan emosional.",Non-Violence